DOCUMENTO;CODIGO_PRODUCTO;PRECIO_UNITARIO;CANTIDAD;TOTAL;COSTO_UNITARIO
FAC0033050;PLT0044;10146;3;30438;5968
FAC0033051;PLT0039;6179;1;6179;3635
FAC0033052;PLT0042;28508;1;28508;16769
FAC0033053;PLT0046;34804;7;243628;20473
FAC0033054;PLT0024;6170;2;12340;3629
FAC0033055;PLT0026;9446;7;66122;5556
FAC0033056;PLT0021;21859;3;65577;12858
FAC0033057;PLT0028;8448;5;42240;4969
FAC0033058;PLT0025;25473;1;25473;14984
FAC0033059;PLT0008;27709;2;55418;16299
FAC0033060;PLT0038;27071;7;189497;15924
FAC0033061;PLT0042;28508;3;85524;16769
FAC0033062;PLT0001;10201;2;20402;6001
FAC0033063;PLT0010;7946;3;23838;4674
FAC0033064;PLT0024;6170;10;61700;3629
FAC0033065;PLT0011;25298;6;151788;14881
FAC0033066;PLT0001;10201;5;51005;6001
FAC0033067;PLT0046;34804;10;348040;20473
FAC0033068;PLT0044;10146;1;10146;5968
FAC0033069;PLT0016;17636;9;158724;10374
FAC0033070;PLT0026;9446;5;47230;5556
FAC0033071;PLT0010;7946;3;23838;4674
FAC0033072;PLT0038;27071;8;216568;15924
FAC0033073;PLT0012;9483;7;66381;5578
FAC0033074;PLT0025;25473;1;25473;14984
FAC0033075;PLT0004;19506;7;136542;11474
FAC0033076;PLT0012;9483;1;9483;5578
FAC0033077;PLT0021;21859;10;218590;12858
FAC0033078;PLT0017;33597;3;100791;19763
FAC0033079;PLT0017;33597;4;134388;19763
FAC0033080;PLT0024;6170;4;24680;3629
FAC0033081;PLT0018;21805;10;218050;12826
FAC0033082;PLT0013;16922;4;67688;9954
FAC0033083;PLT0024;6170;1;6170;3629
FAC0033084;PLT0031;11454;2;22908;6738
FAC0033085;PLT0045;34710;1;34710;20418
FAC0033086;PLT0023;29003;4;116012;17061
FAC0033087;PLT0002;16035;6;96210;9432
FAC0033088;PLT0006;24613;8;196904;14478
FAC0033089;PLT0010;7946;1;7946;4674
FAC0033090;PLT0037;20147;1;20147;11851
FAC0033091;PLT0041;18897;5;94485;11116
FAC0033092;PLT0031;11454;3;34362;6738
FAC0033093;PLT0037;20147;5;100735;11851
FAC0033094;PLT0042;28508;4;114032;16769
FAC0033095;PLT0005;34187;3;102561;20110
FAC0033096;PLT0023;29003;2;58006;17061
FAC0033097;PLT0014;5638;3;16914;3316
FAC0033098;PLT0025;25473;10;254730;14984
FAC0033099;PLT0039;6179;5;30895;3635
FAC0033100;PLT0003;25406;8;203248;14945
FAC0033101;PLT0034;11917;8;95336;7010
FAC0033102;PLT0022;28111;1;28111;16536
FAC0033103;PLT0016;17636;10;176360;10374
FAC0033104;PLT0027;22873;2;45746;13455
FAC0033105;PLT0027;22873;7;160111;13455
FAC0033106;PLT0038;27071;5;135355;15924
FAC0033107;PLT0021;21859;9;196731;12858
FAC0033108;PLT0031;11454;6;68724;6738
FAC0033109;PLT0017;33597;6;201582;19763
FAC0033110;PLT0006;24613;5;123065;14478
FAC0033111;PLT0029;16136;10;161360;9492
FAC0033112;PLT0038;27071;2;54142;15924
FAC0033113;PLT0006;24613;9;221517;14478
FAC0033114;PLT0040;24668;8;197344;14511
FAC0033115;PLT0018;21805;3;65415;12826
FAC0033116;PLT0014;5638;3;16914;3316
FAC0033117;PLT0040;24668;8;197344;14511
FAC0033118;PLT0028;8448;4;33792;4969
FAC0033119;PLT0042;28508;8;228064;16769
FAC0033120;PLT0027;22873;6;137238;13455
FAC0033121;PLT0014;5638;7;39466;3316
FAC0033122;PLT0003;25406;5;127030;14945
FAC0033123;PLT0022;28111;1;28111;16536
FAC0033124;PLT0042;28508;6;171048;16769
FAC0033125;PLT0023;29003;5;145015;17061
FAC0033126;PLT0004;19506;5;97530;11474
FAC0033127;PLT0043;14334;9;129006;8432
FAC0033128;PLT0032;10479;8;83832;6164
FAC0033129;PLT0024;6170;9;55530;3629
FAC0033130;PLT0028;8448;10;84480;4969
FAC0033131;PLT0045;34710;9;312390;20418
FAC0033132;PLT0008;27709;6;166254;16299
FAC0033133;PLT0013;16922;1;16922;9954
FAC0033134;PLT0012;9483;4;37932;5578
FAC0033135;PLT0034;11917;1;11917;7010
FAC0033136;PLT0021;21859;2;43718;12858
FAC0033137;PLT0010;7946;10;79460;4674
FAC0033138;PLT0029;16136;3;48408;9492
FAC0033139;PLT0023;29003;3;87009;17061
FAC0033140;PLT0043;14334;7;100338;8432
FAC0033141;PLT0039;6179;4;24716;3635
FAC0033142;PLT0038;27071;4;108284;15924
FAC0033143;PLT0038;27071;2;54142;15924
FAC0033144;PLT0011;25298;4;101192;14881
FAC0033145;PLT0023;29003;2;58006;17061
FAC0033146;PLT0039;6179;10;61790;3635
FAC0033147;PLT0013;16922;6;101532;9954
FAC0033148;PLT0015;22206;3;66618;13062
FAC0033149;PLT0025;25473;7;178311;14984
FAC0033150;PLT0032;10479;6;62874;6164
FAC0033151;PLT0025;25473;6;152838;14984
FAC0033152;PLT0035;13674;6;82044;8044
FAC0033153;PLT0039;6179;3;18537;3635
FAC0033154;PLT0039;6179;9;55611;3635
FAC0033155;PLT0020;32766;9;294894;19274
FAC0033156;PLT0018;21805;9;196245;12826
FAC0033157;PLT0002;16035;2;32070;9432
FAC0033158;PLT0015;22206;8;177648;13062
FAC0033159;PLT0040;24668;2;49336;14511
FAC0033160;PLT0021;21859;3;65577;12858
FAC0033161;PLT0030;21117;3;63351;12422
FAC0033162;PLT0037;20147;10;201470;11851
FAC0033163;PLT0006;24613;1;24613;14478
FAC0033164;PLT0003;25406;8;203248;14945
FAC0033165;PLT0039;6179;1;6179;3635
FAC0033166;PLT0016;17636;1;17636;10374
FAC0033167;PLT0039;6179;1;6179;3635
FAC0033168;PLT0032;10479;8;83832;6164
FAC0033169;PLT0009;22639;9;203751;13317
FAC0033170;PLT0003;25406;8;203248;14945
FAC0033171;PLT0037;20147;2;40294;11851
FAC0033172;PLT0046;34804;4;139216;20473
FAC0033173;PLT0006;24613;6;147678;14478
FAC0033174;PLT0018;21805;9;196245;12826
FAC0033175;PLT0025;25473;8;203784;14984
FAC0033176;PLT0032;10479;2;20958;6164
FAC0033177;PLT0039;6179;5;30895;3635
FAC0033178;PLT0014;5638;1;5638;3316
FAC0033179;PLT0022;28111;5;140555;16536
FAC0033180;PLT0010;7946;8;63568;4674
FAC0033181;PLT0031;11454;5;57270;6738
FAC0033182;PLT0029;16136;1;16136;9492
FAC0033183;PLT0044;10146;2;20292;5968
FAC0033184;PLT0032;10479;6;62874;6164
FAC0033185;PLT0007;20343;10;203430;11966
FAC0033186;PLT0039;6179;6;37074;3635
FAC0033187;PLT0001;10201;1;10201;6001
FAC0033188;PLT0031;11454;10;114540;6738
FAC0033189;PLT0020;32766;3;98298;19274
FAC0033190;PLT0041;18897;3;56691;11116
FAC0033191;PLT0013;16922;7;118454;9954
FAC0033192;PLT0036;27243;10;272430;16025
FAC0033193;PLT0038;27071;9;243639;15924
FAC0033194;PLT0032;10479;7;73353;6164
FAC0033195;PLT0004;19506;10;195060;11474
FAC0033196;PLT0030;21117;8;168936;12422
FAC0033197;PLT0040;24668;8;197344;14511
FAC0033198;PLT0014;5638;8;45104;3316
FAC0033199;PLT0026;9446;1;9446;5556
FAC0033200;PLT0030;21117;4;84468;12422
FAC0033201;PLT0034;11917;5;59585;7010
FAC0033202;PLT0009;22639;5;113195;13317
FAC0033203;PLT0021;21859;9;196731;12858
FAC0033204;PLT0009;22639;2;45278;13317
FAC0033205;PLT0013;16922;3;50766;9954
FAC0033206;PLT0028;8448;8;67584;4969
FAC0033207;PLT0042;28508;1;28508;16769
FAC0033208;PLT0036;27243;2;54486;16025
FAC0033209;PLT0031;11454;6;68724;6738
FAC0033210;PLT0028;8448;1;8448;4969
FAC0033211;PLT0006;24613;8;196904;14478
FAC0033212;PLT0035;13674;5;68370;8044
FAC0033213;PLT0014;5638;6;33828;3316
FAC0033214;PLT0026;9446;1;9446;5556
FAC0033215;PLT0031;11454;4;45816;6738
FAC0033216;PLT0040;24668;4;98672;14511
FAC0033217;PLT0026;9446;1;9446;5556
FAC0033218;PLT0042;28508;7;199556;16769
FAC0033219;PLT0037;20147;3;60441;11851
FAC0033220;PLT0023;29003;8;232024;17061
FAC0033221;PLT0001;10201;3;30603;6001
FAC0033222;PLT0007;20343;6;122058;11966
FAC0033223;PLT0042;28508;4;114032;16769
FAC0033224;PLT0041;18897;9;170073;11116
FAC0033225;PLT0047;26583;2;53166;15637
FAC0033226;PLT0022;28111;1;28111;16536
FAC0033227;PLT0027;22873;1;22873;13455
FAC0033228;PLT0029;16136;5;80680;9492
FAC0033229;PLT0013;16922;4;67688;9954
FAC0033230;PLT0032;10479;6;62874;6164
FAC0033231;PLT0013;16922;3;50766;9954
FAC0033232;PLT0004;19506;1;19506;11474
FAC0033233;PLT0043;14334;8;114672;8432
FAC0033234;PLT0047;26583;5;132915;15637
FAC0033235;PLT0002;16035;3;48105;9432
FAC0033236;PLT0028;8448;9;76032;4969
FAC0033237;PLT0001;10201;4;40804;6001
FAC0033238;PLT0016;17636;4;70544;10374
FAC0033239;PLT0001;10201;5;51005;6001
FAC0033240;PLT0028;8448;2;16896;4969
FAC0033241;PLT0037;20147;7;141029;11851
FAC0033242;PLT0036;27243;2;54486;16025
FAC0033243;PLT0006;24613;6;147678;14478
FAC0033244;PLT0006;24613;3;73839;14478
FAC0033245;PLT0043;14334;7;100338;8432
FAC0033246;PLT0026;9446;3;28338;5556
FAC0033247;PLT0016;17636;6;105816;10374
FAC0033248;PLT0019;21410;5;107050;12594
FAC0033249;PLT0021;21859;4;87436;12858
FAC0033250;PLT0003;25406;8;203248;14945
FAC0033251;PLT0018;21805;6;130830;12826
FAC0033252;PLT0036;27243;5;136215;16025
FAC0033253;PLT0030;21117;3;63351;12422
FAC0033254;PLT0029;16136;1;16136;9492
FAC0033255;PLT0027;22873;8;182984;13455
FAC0033256;PLT0008;27709;6;166254;16299
FAC0033257;PLT0027;22873;5;114365;13455
FAC0033258;PLT0045;34710;5;173550;20418
FAC0033259;PLT0039;6179;10;61790;3635
FAC0033260;PLT0022;28111;1;28111;16536
FAC0033261;PLT0007;20343;7;142401;11966
FAC0033262;PLT0024;6170;4;24680;3629
FAC0033263;PLT0044;10146;7;71022;5968
FAC0033264;PLT0020;32766;10;327660;19274
FAC0033265;PLT0030;21117;9;190053;12422
FAC0033266;PLT0030;21117;3;63351;12422
FAC0033267;PLT0005;34187;10;341870;20110
FAC0033268;PLT0013;16922;5;84610;9954
FAC0033269;PLT0034;11917;5;59585;7010
FAC0033270;PLT0014;5638;4;22552;3316
FAC0033271;PLT0027;22873;3;68619;13455
FAC0033272;PLT0019;21410;10;214100;12594
FAC0033273;PLT0043;14334;7;100338;8432
FAC0033274;PLT0021;21859;4;87436;12858
FAC0033275;PLT0006;24613;6;147678;14478
FAC0033276;PLT0012;9483;5;47415;5578
FAC0033277;PLT0015;22206;2;44412;13062
FAC0033278;PLT0014;5638;9;50742;3316
FAC0033279;PLT0013;16922;6;101532;9954
FAC0033280;PLT0045;34710;8;277680;20418
FAC0033281;PLT0037;20147;5;100735;11851
FAC0033282;PLT0046;34804;7;243628;20473
FAC0033283;PLT0018;21805;9;196245;12826
FAC0033284;PLT0017;33597;6;201582;19763
FAC0033285;PLT0007;20343;5;101715;11966
FAC0033286;PLT0019;21410;10;214100;12594
FAC0033287;PLT0016;17636;10;176360;10374
FAC0033288;PLT0013;16922;8;135376;9954
FAC0033289;PLT0004;19506;2;39012;11474
FAC0033290;PLT0026;9446;5;47230;5556
FAC0033291;PLT0037;20147;9;181323;11851
FAC0033292;PLT0031;11454;8;91632;6738
FAC0033293;PLT0033;21097;4;84388;12410
FAC0033294;PLT0017;33597;2;67194;19763
FAC0033295;PLT0041;18897;7;132279;11116
FAC0033296;PLT0015;22206;6;133236;13062
FAC0033297;PLT0040;24668;6;148008;14511
FAC0033298;PLT0010;7946;4;31784;4674
FAC0033299;PLT0009;22639;8;181112;13317
FAC0033300;PLT0009;22639;3;67917;13317
FAC0033301;PLT0014;5638;9;50742;3316
FAC0033302;PLT0001;10201;6;61206;6001
FAC0033303;PLT0042;28508;6;171048;16769
FAC0033304;PLT0047;26583;5;132915;15637
FAC0033305;PLT0046;34804;6;208824;20473
FAC0033306;PLT0011;25298;4;101192;14881
FAC0033307;PLT0032;10479;2;20958;6164
FAC0033308;PLT0001;10201;1;10201;6001
FAC0033309;PLT0033;21097;10;210970;12410
FAC0033310;PLT0002;16035;9;144315;9432
FAC0033311;PLT0017;33597;3;100791;19763
FAC0033312;PLT0011;25298;8;202384;14881
FAC0033313;PLT0045;34710;5;173550;20418
FAC0033314;PLT0020;32766;5;163830;19274
FAC0033315;PLT0029;16136;10;161360;9492
FAC0033316;PLT0038;27071;2;54142;15924
FAC0033317;PLT0006;24613;4;98452;14478
FAC0033318;PLT0038;27071;9;243639;15924
FAC0033319;PLT0012;9483;1;9483;5578
FAC0033320;PLT0015;22206;8;177648;13062
FAC0033321;PLT0042;28508;4;114032;16769
FAC0033322;PLT0026;9446;1;9446;5556
FAC0033323;PLT0005;34187;7;239309;20110
FAC0033324;PLT0015;22206;8;177648;13062
FAC0033325;PLT0028;8448;8;67584;4969
FAC0033326;PLT0016;17636;1;17636;10374
FAC0033327;PLT0036;27243;7;190701;16025
FAC0033328;PLT0001;10201;10;102010;6001
FAC0033329;PLT0010;7946;7;55622;4674
FAC0033330;PLT0032;10479;9;94311;6164
FAC0033331;PLT0045;34710;9;312390;20418
FAC0033332;PLT0011;25298;3;75894;14881
FAC0033333;PLT0001;10201;9;91809;6001
FAC0033334;PLT0044;10146;8;81168;5968
FAC0033335;PLT0009;22639;8;181112;13317
FAC0033336;PLT0027;22873;7;160111;13455
FAC0033337;PLT0024;6170;2;12340;3629
FAC0033338;PLT0047;26583;6;159498;15637
FAC0033339;PLT0037;20147;9;181323;11851
FAC0033340;PLT0004;19506;10;195060;11474
FAC0033341;PLT0043;14334;5;71670;8432
FAC0033342;PLT0026;9446;6;56676;5556
FAC0033343;PLT0025;25473;8;203784;14984
FAC0033344;PLT0046;34804;4;139216;20473
FAC0033345;PLT0031;11454;1;11454;6738
FAC0033346;PLT0028;8448;2;16896;4969
FAC0033347;PLT0024;6170;10;61700;3629
FAC0033348;PLT0039;6179;2;12358;3635
FAC0033349;PLT0014;5638;3;16914;3316
FAC0033350;PLT0011;25298;3;75894;14881
FAC0033351;PLT0034;11917;1;11917;7010
FAC0033352;PLT0038;27071;8;216568;15924
FAC0033353;PLT0022;28111;5;140555;16536
FAC0033354;PLT0045;34710;6;208260;20418
FAC0033355;PLT0029;16136;2;32272;9492
FAC0033356;PLT0039;6179;3;18537;3635
FAC0033357;PLT0034;11917;5;59585;7010
FAC0033358;PLT0040;24668;2;49336;14511
FAC0033359;PLT0004;19506;9;175554;11474
FAC0033360;PLT0011;25298;8;202384;14881
FAC0033361;PLT0018;21805;10;218050;12826
FAC0033362;PLT0022;28111;6;168666;16536
FAC0033363;PLT0027;22873;8;182984;13455
FAC0033364;PLT0010;7946;9;71514;4674
FAC0033365;PLT0046;34804;5;174020;20473
FAC0033366;PLT0043;14334;1;14334;8432
FAC0033367;PLT0043;14334;3;43002;8432
FAC0033368;PLT0031;11454;1;11454;6738
FAC0033369;PLT0031;11454;1;11454;6738
FAC0033370;PLT0032;10479;10;104790;6164
FAC0033371;PLT0010;7946;5;39730;4674
FAC0033372;PLT0032;10479;5;52395;6164
FAC0033373;PLT0026;9446;5;47230;5556
FAC0033374;PLT0020;32766;4;131064;19274
FAC0033375;PLT0013;16922;9;152298;9954
FAC0033376;PLT0028;8448;10;84480;4969
FAC0033377;PLT0002;16035;3;48105;9432
FAC0033378;PLT0035;13674;5;68370;8044
FAC0033379;PLT0031;11454;10;114540;6738
FAC0033380;PLT0012;9483;6;56898;5578
FAC0033381;PLT0015;22206;9;199854;13062
FAC0033382;PLT0024;6170;5;30850;3629
FAC0033383;PLT0009;22639;1;22639;13317
FAC0033384;PLT0002;16035;8;128280;9432
FAC0033385;PLT0047;26583;10;265830;15637
FAC0033386;PLT0004;19506;9;175554;11474
FAC0033387;PLT0031;11454;2;22908;6738
FAC0033388;PLT0023;29003;6;174018;17061
FAC0033389;PLT0027;22873;7;160111;13455
FAC0033390;PLT0041;18897;4;75588;11116
FAC0033391;PLT0014;5638;1;5638;3316
FAC0033392;PLT0020;32766;7;229362;19274
FAC0033393;PLT0006;24613;7;172291;14478
FAC0033394;PLT0031;11454;7;80178;6738
FAC0033395;PLT0042;28508;8;228064;16769
FAC0033396;PLT0044;10146;4;40584;5968
FAC0033397;PLT0012;9483;6;56898;5578
FAC0033398;PLT0001;10201;3;30603;6001
FAC0033399;PLT0031;11454;7;80178;6738
FAC0033400;PLT0005;34187;6;205122;20110
FAC0033401;PLT0030;21117;10;211170;12422
FAC0033402;PLT0041;18897;9;170073;11116
FAC0033403;PLT0007;20343;4;81372;11966
FAC0033404;PLT0043;14334;2;28668;8432
FAC0033405;PLT0015;22206;2;44412;13062
FAC0033406;PLT0007;20343;2;40686;11966
FAC0033407;PLT0018;21805;9;196245;12826
FAC0033408;PLT0008;27709;9;249381;16299
FAC0033409;PLT0027;22873;7;160111;13455
FAC0033410;PLT0013;16922;1;16922;9954
FAC0033411;PLT0028;8448;10;84480;4969
FAC0033412;PLT0007;20343;7;142401;11966
FAC0033413;PLT0040;24668;5;123340;14511
FAC0033414;PLT0017;33597;2;67194;19763
FAC0033415;PLT0026;9446;1;9446;5556
FAC0033416;PLT0002;16035;1;16035;9432
FAC0033417;PLT0046;34804;7;243628;20473
FAC0033418;PLT0023;29003;5;145015;17061
FAC0033419;PLT0032;10479;3;31437;6164
FAC0033420;PLT0007;20343;8;162744;11966
FAC0033421;PLT0021;21859;7;153013;12858
FAC0033422;PLT0013;16922;10;169220;9954
FAC0033423;PLT0037;20147;9;181323;11851
FAC0033424;PLT0031;11454;6;68724;6738
FAC0033425;PLT0033;21097;4;84388;12410
FAC0033426;PLT0006;24613;3;73839;14478
FAC0033427;PLT0047;26583;4;106332;15637
FAC0033428;PLT0032;10479;3;31437;6164
FAC0033429;PLT0007;20343;1;20343;11966
FAC0033430;PLT0038;27071;2;54142;15924
FAC0033431;PLT0043;14334;5;71670;8432
FAC0033432;PLT0038;27071;8;216568;15924
FAC0033433;PLT0043;14334;7;100338;8432
FAC0033434;PLT0047;26583;10;265830;15637
FAC0033435;PLT0001;10201;5;51005;6001
FAC0033436;PLT0004;19506;8;156048;11474
FAC0033437;PLT0018;21805;9;196245;12826
FAC0033438;PLT0017;33597;2;67194;19763
FAC0033439;PLT0009;22639;6;135834;13317
FAC0033440;PLT0028;8448;4;33792;4969
FAC0033441;PLT0012;9483;3;28449;5578
FAC0033442;PLT0017;33597;8;268776;19763
FAC0033443;PLT0005;34187;9;307683;20110
FAC0033444;PLT0004;19506;6;117036;11474
FAC0033445;PLT0035;13674;2;27348;8044
FAC0033446;PLT0005;34187;7;239309;20110
FAC0033447;PLT0024;6170;9;55530;3629
FAC0033448;PLT0009;22639;3;67917;13317
FAC0033449;PLT0036;27243;8;217944;16025
FAC0033450;PLT0011;25298;7;177086;14881
FAC0033451;PLT0007;20343;8;162744;11966
FAC0033452;PLT0021;21859;1;21859;12858
FAC0033453;PLT0027;22873;10;228730;13455
FAC0033454;PLT0025;25473;1;25473;14984
FAC0033455;PLT0009;22639;6;135834;13317
FAC0033456;PLT0007;20343;6;122058;11966
FAC0033457;PLT0010;7946;4;31784;4674
FAC0033458;PLT0001;10201;6;61206;6001
FAC0033459;PLT0037;20147;10;201470;11851
FAC0033460;PLT0036;27243;10;272430;16025
FAC0033461;PLT0043;14334;5;71670;8432
FAC0033462;PLT0001;10201;8;81608;6001
FAC0033463;PLT0025;25473;1;25473;14984
FAC0033464;PLT0046;34804;8;278432;20473
FAC0033465;PLT0018;21805;5;109025;12826
FAC0033466;PLT0014;5638;10;56380;3316
FAC0033467;PLT0043;14334;9;129006;8432
FAC0033468;PLT0028;8448;7;59136;4969
FAC0033469;PLT0032;10479;5;52395;6164
FAC0033470;PLT0026;9446;2;18892;5556
FAC0033471;PLT0030;21117;3;63351;12422
FAC0033472;PLT0021;21859;6;131154;12858
FAC0033473;PLT0033;21097;5;105485;12410
FAC0033474;PLT0046;34804;8;278432;20473
FAC0033475;PLT0007;20343;8;162744;11966
FAC0033476;PLT0029;16136;6;96816;9492
FAC0033477;PLT0025;25473;3;76419;14984
FAC0033478;PLT0024;6170;6;37020;3629
FAC0033479;PLT0019;21410;1;21410;12594
FAC0033480;PLT0021;21859;2;43718;12858
FAC0033481;PLT0036;27243;6;163458;16025
FAC0033482;PLT0019;21410;5;107050;12594
FAC0033483;PLT0022;28111;6;168666;16536
FAC0033484;PLT0020;32766;2;65532;19274
FAC0033485;PLT0042;28508;4;114032;16769
FAC0033486;PLT0041;18897;2;37794;11116
FAC0033487;PLT0020;32766;10;327660;19274
FAC0033488;PLT0046;34804;4;139216;20473
FAC0033489;PLT0038;27071;2;54142;15924
FAC0033490;PLT0021;21859;9;196731;12858
FAC0033491;PLT0015;22206;2;44412;13062
FAC0033492;PLT0046;34804;7;243628;20473
FAC0033493;PLT0001;10201;1;10201;6001
FAC0033494;PLT0029;16136;8;129088;9492
FAC0033495;PLT0015;22206;3;66618;13062
FAC0033496;PLT0018;21805;5;109025;12826
FAC0033497;PLT0043;14334;5;71670;8432
FAC0033498;PLT0017;33597;6;201582;19763
FAC0033499;PLT0010;7946;7;55622;4674
FAC0033500;PLT0002;16035;8;128280;9432
FAC0033501;PLT0031;11454;2;22908;6738
FAC0033502;PLT0013;16922;2;33844;9954
FAC0033503;PLT0042;28508;10;285080;16769
FAC0033504;PLT0014;5638;2;11276;3316
FAC0033505;PLT0011;25298;7;177086;14881
FAC0033506;PLT0017;33597;6;201582;19763
FAC0033507;PLT0033;21097;10;210970;12410
FAC0033508;PLT0015;22206;6;133236;13062
FAC0033509;PLT0020;32766;2;65532;19274
FAC0033510;PLT0022;28111;6;168666;16536
FAC0033511;PLT0007;20343;3;61029;11966
FAC0033512;PLT0021;21859;5;109295;12858
FAC0033513;PLT0002;16035;1;16035;9432
FAC0033514;PLT0039;6179;7;43253;3635
FAC0033515;PLT0038;27071;5;135355;15924
FAC0033516;PLT0040;24668;8;197344;14511
FAC0033517;PLT0004;19506;3;58518;11474
FAC0033518;PLT0022;28111;4;112444;16536
FAC0033519;PLT0035;13674;6;82044;8044
FAC0033520;PLT0033;21097;8;168776;12410
FAC0033521;PLT0042;28508;10;285080;16769
FAC0033522;PLT0036;27243;7;190701;16025
FAC0033523;PLT0022;28111;1;28111;16536
FAC0033524;PLT0019;21410;9;192690;12594
FAC0033525;PLT0001;10201;2;20402;6001
FAC0033526;PLT0045;34710;2;69420;20418
FAC0033527;PLT0014;5638;9;50742;3316
FAC0033528;PLT0019;21410;3;64230;12594
FAC0033529;PLT0008;27709;7;193963;16299
FAC0033530;PLT0009;22639;5;113195;13317
FAC0033531;PLT0014;5638;5;28190;3316
FAC0033532;PLT0007;20343;4;81372;11966
FAC0033533;PLT0013;16922;7;118454;9954
FAC0033534;PLT0031;11454;1;11454;6738
FAC0033535;PLT0044;10146;7;71022;5968
FAC0033536;PLT0008;27709;9;249381;16299
FAC0033537;PLT0037;20147;1;20147;11851
FAC0033538;PLT0046;34804;5;174020;20473
FAC0033539;PLT0035;13674;1;13674;8044
FAC0033540;PLT0025;25473;2;50946;14984
FAC0033541;PLT0022;28111;3;84333;16536
FAC0033542;PLT0010;7946;5;39730;4674
FAC0033543;PLT0015;22206;4;88824;13062
FAC0033544;PLT0034;11917;2;23834;7010
FAC0033545;PLT0008;27709;6;166254;16299
FAC0033546;PLT0028;8448;6;50688;4969
FAC0033547;PLT0039;6179;4;24716;3635
FAC0033548;PLT0023;29003;7;203021;17061
FAC0033549;PLT0030;21117;4;84468;12422
FAC0033550;PLT0016;17636;6;105816;10374
FAC0033551;PLT0038;27071;10;270710;15924
FAC0033552;PLT0045;34710;5;173550;20418
FAC0033553;PLT0037;20147;1;20147;11851
FAC0033554;PLT0030;21117;4;84468;12422
FAC0033555;PLT0028;8448;9;76032;4969
FAC0033556;PLT0023;29003;3;87009;17061
FAC0033557;PLT0023;29003;8;232024;17061
FAC0033558;PLT0022;28111;8;224888;16536
FAC0033559;PLT0019;21410;5;107050;12594
FAC0033560;PLT0041;18897;3;56691;11116
FAC0033561;PLT0016;17636;4;70544;10374
FAC0033562;PLT0025;25473;7;178311;14984
FAC0033563;PLT0013;16922;2;33844;9954
FAC0033564;PLT0002;16035;10;160350;9432
FAC0033565;PLT0014;5638;10;56380;3316
FAC0033566;PLT0027;22873;1;22873;13455
FAC0033567;PLT0010;7946;9;71514;4674
FAC0033568;PLT0029;16136;3;48408;9492
FAC0033569;PLT0023;29003;2;58006;17061
FAC0033570;PLT0020;32766;5;163830;19274
FAC0033571;PLT0005;34187;8;273496;20110
FAC0033572;PLT0013;16922;8;135376;9954
FAC0033573;PLT0015;22206;8;177648;13062
FAC0033574;PLT0044;10146;9;91314;5968
FAC0033575;PLT0036;27243;1;27243;16025
FAC0033576;PLT0019;21410;10;214100;12594
FAC0033577;PLT0027;22873;9;205857;13455
FAC0033578;PLT0042;28508;3;85524;16769
FAC0033579;PLT0022;28111;4;112444;16536
FAC0033580;PLT0032;10479;6;62874;6164
FAC0033581;PLT0030;21117;8;168936;12422
FAC0033582;PLT0014;5638;8;45104;3316
FAC0033583;PLT0008;27709;5;138545;16299
FAC0033584;PLT0009;22639;2;45278;13317
FAC0033585;PLT0021;21859;7;153013;12858
FAC0033586;PLT0022;28111;8;224888;16536
FAC0033587;PLT0008;27709;3;83127;16299
FAC0033588;PLT0040;24668;1;24668;14511
FAC0033589;PLT0039;6179;7;43253;3635
FAC0033590;PLT0022;28111;10;281110;16536
FAC0033591;PLT0038;27071;8;216568;15924
FAC0033592;PLT0031;11454;4;45816;6738
FAC0033593;PLT0003;25406;10;254060;14945
FAC0033594;PLT0017;33597;2;67194;19763
FAC0033595;PLT0038;27071;10;270710;15924
FAC0033596;PLT0012;9483;9;85347;5578
FAC0033597;PLT0012;9483;2;18966;5578
FAC0033598;PLT0005;34187;6;205122;20110
FAC0033599;PLT0026;9446;8;75568;5556
FAC0033600;PLT0011;25298;5;126490;14881
FAC0033601;PLT0039;6179;1;6179;3635
FAC0033602;PLT0038;27071;4;108284;15924
FAC0033603;PLT0044;10146;6;60876;5968
FAC0033604;PLT0022;28111;10;281110;16536
FAC0033605;PLT0044;10146;4;40584;5968
FAC0033606;PLT0001;10201;9;91809;6001
FAC0033607;PLT0012;9483;10;94830;5578
FAC0033608;PLT0031;11454;7;80178;6738
FAC0033609;PLT0011;25298;10;252980;14881
FAC0033610;PLT0011;25298;9;227682;14881
FAC0033611;PLT0025;25473;6;152838;14984
FAC0033612;PLT0022;28111;8;224888;16536
FAC0033613;PLT0009;22639;3;67917;13317
FAC0033614;PLT0039;6179;2;12358;3635
FAC0033615;PLT0034;11917;6;71502;7010
FAC0033616;PLT0030;21117;2;42234;12422
FAC0033617;PLT0039;6179;9;55611;3635
FAC0033618;PLT0016;17636;7;123452;10374
FAC0033619;PLT0036;27243;5;136215;16025
FAC0033620;PLT0007;20343;8;162744;11966
FAC0033621;PLT0047;26583;2;53166;15637
FAC0033622;PLT0041;18897;1;18897;11116
FAC0033623;PLT0001;10201;4;40804;6001
FAC0033624;PLT0039;6179;10;61790;3635
FAC0033625;PLT0032;10479;1;10479;6164
FAC0033626;PLT0032;10479;5;52395;6164
FAC0033627;PLT0044;10146;6;60876;5968
FAC0033628;PLT0045;34710;7;242970;20418
FAC0033629;PLT0015;22206;8;177648;13062
